title,mpn,price,price_old,brand,category,images_links,الموديل,كود المنتج,العلامة التجارية,الاصدار,اللون,السعر,images_names
فريزر هام رأسي باب واحد استيل تايلاندي 21 قدم HM730SFR-M21N,HM730SFR-M21N,5000,5000,haam,الأجهزة المنزلية > فريزرات,"https://almanea.sa//Up/Product/Large/4626fec5-269d-454e-96fa-f754c557580a.Jpeg
https://almanea.sa//Up/Product/Large/2a5af1e9-2049-4a23-a61c-e053d1a2fe28.Jpeg
https://almanea.sa//Up/Product/Large/acbbe402-14f2-4407-80e3-8783ce0c80c5.Jpeg",HM730SFR-M21N,0308161040,هام,HM730SFR-M21N,ستيل,3849,"full/9a20790203558cc6919bb38a6c7a08921699895e.jpg
full/4f6c276aefb1aa4391d77a48746d755cda9aff86.jpg
full/fa6973bb2229007b7d3a9baf0ae01e1f32a567ee.jpg"
غسالة هام أمامية 8 ك أبيض Inverter تنشيف 100%  HMCFL8D5W-20,HMCFL8D5W-20,3100,3100,haam,الأجهزة المنزلية > غسالات الملابس,"https://almanea.sa//Up/Product/Large/d60f488e-1ff7-4cdb-b8ff-a8cddc4c8fc2.Jpeg
https://almanea.sa//Up/Product/Large/3c104d17-281f-4718-b313-3272c0823e18.Jpeg",HMCFL8D5W-20,1408532030,هام,HMCFL8D5W-20,ابيض,2249,"full/d8c937ebd7ddf61b829d15c571151828b85ea7d9.jpg
full/905a28357f6fea95c99f5859c5b4f7fc88325a3e.jpg"
ثلاجة هيتاشي 15.90 قدم فضي بلاتيني R-V600PS7K BSL,R-V600PS7K BSL,4341,4341,hitachi,الأجهزة المنزلية > ثلاجات,https://almanea.sa//Up/Product/Large/b5f8e640-403e-4914-8b70-f2f41ffbd57d.jpg,R-V600PS7K BSL,0214223046,هيتاشى,R-V600PS7K BSL,فضى,3591,full/a3e26f8f88e5ee78e1b7392a9b920c39dd0ccfbb.jpg
غسالة صحون اريستون 10 برامج ابيض 15 مكان LFO 3P31 WL 60HZ,LFO 3P31 WL 60HZ,3129,,Ariston,الأجهزة المنزلية > غسالات الصحون,https://almanea.sa//Up/Product/Large/415b9623-c754-461d-aa9c-d8586e603a42.Jpeg,LFO 3P31 WL 60HZ,1605622140,أريستون,LFO 3P31 WL 60HZ,ابيض,3129,full/19662d047c34d6bad273fc67784aee533c581f69.jpg
نشاف ارستون تعبئة اماميه 7 كيلو TVM 70C 6P EX,TVM 70C 6P EX,1598.99,,Ariston,الأجهزة المنزلية > نشافات,https://almanea.sa//Up/Product/Large/2f54a379-c8eb-4b04-8701-759aeeac9ffe.jpg,TVM 70C 6P EX,1505630020,أريستون,TVM 70C 6P EX,ابيض,1598.99,full/88b14b06358fac5edc889eb1eca48e93153ab217.jpg
ثلاجة LG بابين 11 قدم ابيض LT12CBBWIN,LT12CBBWIN,3099,3099,lg,الأجهزة المنزلية > ثلاجات,"https://almanea.sa//Up/Product/Large/49fddc6e-7ae6-4e0b-b40f-6e639fe452d5.Jpeg
https://almanea.sa//Up/Product/Large/4cf76def-e3e8-4b3f-b2bb-e7904d53b17d.Jpeg
https://almanea.sa//Up/Product/Large/2ec51287-98c7-4080-aa77-ad392a6f9869.Jpeg
https://almanea.sa//Up/Product/Large/880cc04c-80fd-4cec-b1e1-65badfb89082.Jpeg
https://almanea.sa//Up/Product/Large/ee5f86b6-1ca3-4ee5-84ee-7ac62c3efd64.Jpeg
https://almanea.sa//Up/Product/Large/19091cee-5ad9-422b-a83e-4f572c038870.Jpeg
https://almanea.sa//Up/Product/Large/41d112a1-b908-4562-93d1-3976a246c159.Jpeg
https://almanea.sa//Up/Product/Large/7bed2bc6-47ba-496a-a9bc-46bcd8e96930.Jpeg
https://almanea.sa//Up/Product/Large/51921ff1-7606-4c8c-8085-22b7516c63f4.Jpeg
https://almanea.sa//Up/Product/Large/0ba40031-db9f-48c8-97eb-4df023ec84e2.Jpeg
https://almanea.sa//Up/Product/Large/76f56aea-5c10-4038-8506-32370e0c398f.Jpeg
https://almanea.sa//Up/Product/Large/45250b1a-64c2-4e44-adee-1ce6d1e4ba7c.Jpeg
https://almanea.sa//Up/Product/Large/73a55e81-a2f5-446a-9264-9c1962352172.Jpeg
https://almanea.sa//Up/Product/Large/5784ae86-1fc0-4b6f-8095-3e208566b8cb.Jpeg
https://almanea.sa//Up/Product/Large/b1ba335c-a7dc-44da-b5dc-53b8947b0724.Jpeg",LT12CBBWIN,0202225410,إل جي,LT12CBBWIN,ابيض,2199,"full/402b21702ab5e3d710dfd24814015b90a68cf0dc.jpg
full/732547a053a66611ae7de1cafbf22fa3abb1829b.jpg
full/416edc08adf7863fb562b3790486cec531ef6f72.jpg
full/0455f901bd09f55cc79e622b990f79c8d75d5450.jpg
full/67069fa5bb95bd78352dfc65e969f19789dc8bdc.jpg
full/3bb47680f3784a7e8d213a11cb28ab017597b08c.jpg
full/7a93dc9883dab76c6faf3388b9c9a4e0f064b956.jpg
full/21dd9abe714cbced6c2703260fe1d243d5fee4db.jpg
full/452847accd4a5d535a8853ddd6850ffe30479e6e.jpg
full/fcf0d4c6e16a6ac5ee0711931b3af7e3ac8967a6.jpg
full/af466b3a3551abe801fbf6b4828d0e5f162ce889.jpg
full/ee146f8a466ad2b91b5044ffac6e2d4200b42144.jpg
full/11f684aa9c707355fb0f015a051bbb2107f2f96c.jpg
full/45c20831644937d52c197981d904f6a72de82b2f.jpg
full/cb16755768b5af673ab6d8d0a3aabf5a939ccdba.jpg"
فريزر وايت وستنجهاوس افقي 18.4 قدم ابيض WWCFAK550,WWCFAK550,3298.99,3298.99,Westinghouse,الأجهزة المنزلية > فريزرات,"https://almanea.sa//Up/Product/Large/3dcf8926-a5b6-47f9-8c67-320d6a330777.Jpeg
https://almanea.sa//Up/Product/Large/8df12413-3d26-40a7-af3e-57a602e934da.Jpeg",WWCFAK550,0301130270,ويستنج هاوس,WWCFAK550,ابيض,2999,"full/e65d11c3d9fcc703577a50e86226acc0cf75cf1b.jpg
full/309df3dcceadcce8d72420894501458fd1faf5e2.jpg"
شفاط جليم جاز بلت ان 60 سم هرمى استيل GHP640IX,GHP640IX,1207.99,1207.99,glemgas,الأجهزة المنزلية > افران,"https://almanea.sa//Up/Product/Large/2eaf75e4-a355-4872-aafa-bafc32cd455d.jpg
https://almanea.sa//Up/Product/Large/c88b96dc-19cc-45ea-aa79-ee7be128cc48.jpg",GHP640IX,2344020100,جليم جاز,GHP640IX,ستيل,1111,"full/9c4200e3f5ec1782885b1ff283f449d3e2a549f7.jpg
full/569ab910a6958bf4d7c93c8d5e57ac25573cd883.jpg"
غسالة هام تعبئة علوية 8 كيلو فضي HWM8S-21N,HWM8S-21N,2000,2000,haam,الأجهزة المنزلية > غسالات الملابس,"https://almanea.sa//Up/Product/Large/de04206a-ef9c-40e3-b40c-296acca852d9.Jpeg
https://almanea.sa//Up/Product/Large/15649821-16a0-4a34-bcbe-d21b8d7d46a0.Jpeg",HWM8S-21N,1408560021,هام,HWM8S-21N,فضى,1349,"full/f714b50411522ba7e766de41ecd4e2a98d2fd1c4.jpg
full/9c58e5f26ff913b5e39033f0fd6ca070f9ad233e.jpg"
غسالة اريستون 7 ك سلفر امامية تنشيف 75 % NM10723SS60hz,NM10723SS60hz,1979,,Ariston,الأجهزة المنزلية > غسالات الملابس,"https://almanea.sa//Up/Product/Large/ad0284f0-26cc-4dbb-b86c-c4ef50976434.Jpeg
https://almanea.sa//Up/Product/Large/d311c94c-dfb3-4b9b-b486-e348812fec55.Jpeg",NM10723SS60hz,1405630011,أريستون,NM10723SS60hz,فضى,1979,"full/43c0d9edf308ae3c7d416835eb5be42ca1657190.jpg
full/29d3848ccee2304f2e25a6a18cb34ebdc9af8908.jpg"
