id,sku,name,slug,short_description,description,price,sale_price,categories,keywords,images_links,html_url,images_names
54867975-e343-4ed7-a45c-0b2b36333b6a,Q2-5-3-5,او تو او - احمر شفاه مطفي طويل الأمد 12,او-تو-او-احمر-شفاه-مطفي-طويل-الأمد-12, احمر شفاه يدوم طويلا مع اطلالة مطفية جميلة ولون مكثف يتميز بقوام كريمي يدوم طويلاً بتركيبة ترطيب ثابتة تحافظ على شفتيك رطبة و?,"احمر شفاه يدوم طويلا مع اطلالة مطفية جميلة ولون مكثف
يتميز بقوام كريمي يدوم طويلاً بتركيبة ترطيب ثابتة تحافظ على شفتيك رطبة وناعمة طوال اليوم
صبغة عالية الكثافة تغلف الشفاه بلون غني ومظهر مخملي غير لامع
مثالي ليمنحك مظهراً رائعاً ببساطة في أي وقت",29.26,,مكياج | شفاه | أحمر الشفاه | منتجات اقل من 50 ريال | أرخص الأسعار | او تو او,احمر شفاة | روج,https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/49694d8a-c884-49ac-b48f-f6815107ba5f.jpg,https://makeupstationsa.com/products/او-تو-او-احمر-شفاه-مطفي-طويل-الأمد-12,49694d8a-c884-49ac-b48f-f6815107ba5f.jpg
6541a9bc-8d58-461c-bbe5-9dc9a473d785,Q2-5-2-4,او تو او - روج سائل ليكويد مات 09,او-تو-او-روج-سائل-ليكويد-مات-09,تركيبة سائلة كثيفة اللون تجف سريعاً لتحصلي على طبقة نهائية خفيفة الوزن.احمر شفاه يملئ الشفتين بلون كثيف مخملي بلمسة واحدة فقط.,تركيبة سائلة كثيفة اللون تجف سريعاً لتحصلي على طبقة نهائية خفيفة الوزن.احمر شفاه يملئ الشفتين بلون كثيف مخملي بلمسة واحدة فقط.تتميز تركيبته بالثبات لساعات طويلة وتبقى ناعمة وخيار مثالي لمظهر شفاه جذابة.,34.5,,مكياج | شفاه | أحمر الشفاه | منتجات اقل من 50 ريال | أرخص الأسعار | او تو او,او تو او | روج,https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/4f941d24-e416-4876-90b0-a9b2839ef3c1.jpg,https://makeupstationsa.com/products/او-تو-او-روج-سائل-ليكويد-مات-09,4f941d24-e416-4876-90b0-a9b2839ef3c1.jpg
144b1788-4957-4a2c-a739-b166d4ae9ed1,Q2-5-3-6,او تو او - احمر شفاه مطفي طويل الأمد 11,او-تو-او-احمر-شفاه-مطفي-طويل-الأمد-11, احمر شفاه يدوم طويلا مع اطلالة مطفية جميلة ولون مكثف يتميز بقوام كريمي يدوم طويلاً بتركيبة ترطيب ثابتة تحافظ على شفتيك رطبة و?,"احمر شفاه يدوم طويلا مع اطلالة مطفية جميلة ولون مكثف
يتميز بقوام كريمي يدوم طويلاً بتركيبة ترطيب ثابتة تحافظ على شفتيك رطبة وناعمة طوال اليوم
صبغة عالية الكثافة تغلف الشفاه بلون غني ومظهر مخملي غير لامع
مثالي ليمنحك مظهراً رائعاً ببساطة في أي وقت",29.26,,مكياج | شفاه | أحمر الشفاه | منتجات اقل من 50 ريال | أرخص الأسعار | او تو او,او تو او | روج,https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/daecec15-449c-40ea-994a-574aee61ae94.jpg,https://makeupstationsa.com/products/او-تو-او-احمر-شفاه-مطفي-طويل-الأمد-11,daecec15-449c-40ea-994a-574aee61ae94.jpg
8c41f844-d18a-4865-b6cc-e9b0f4460b30,F2-8-3-9,او تو او - ماسكارا جل لتصفيف الحواجب برو كوت,او-تو-او-ماسكارا-جل-لتصفيف-الحواجب-برو-كوت,ماسكارا جل لتصفيف الحواجب برو كوت من او تو او 6.5ج :  تصميم يوفر العناية بالحواجب والرموش كذلك منتج ينهي مظهر الحواجب غير المرتبة,"ماسكارا جل لتصفيف الحواجب برو كوت من او تو او 6.5ج :

تصميم يوفر العناية بالحواجب والرموش كذلك
منتج ينهي مظهر الحواجب غير المرتبة
يمنح لمسة نهائية وشكلاً مثاليين
تأتي بفرشاة مدمجة ومقص خاص لتساعدك في التطبيق السهل",29.5,,مكياج | الحواجب | منتجات اقل من 50 ريال | مسكرة الحواجب | أرخص الأسعار | او تو او,او تو او | مسكرة حواجب,"https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/c93857c5-7d9d-4e5a-a743-8b8e5de0d37e.jpg
https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/cfccec89-1dcb-4789-83d6-a6f2e4476bf5.jpg",https://makeupstationsa.com/products/او-تو-او-ماسكارا-جل-لتصفيف-الحواجب-برو-كوت,"c93857c5-7d9d-4e5a-a743-8b8e5de0d37e.jpg
cfccec89-1dcb-4789-83d6-a6f2e4476bf5.jpg"
a90c073e-7c1e-4f14-92bc-83baaa749624,M-S745760015009,بولفير| طلاء الأظافر601,بلوفير-طلاء-الأظافر-697,طلاء اظافر عالي الاداء وغني بالالوانتتيح الفرشاة المستديرة المصممة بخبرة تطبيقًا سلسًا وخاليًا من الخطوطتصميم مريح مع عصا اق,طلاء اظافر عالي الاداء وغني بالالوانتتيح الفرشاة المستديرة المصممة بخبرة تطبيقًا سلسًا وخاليًا من الخطوطتصميم مريح مع عصا اقصر يمنع الطلاء من التنقيطيتميز بتركيبة سريعة الجفاف تبقى ثابتة لفترة طويلة,17.25,,مكياج | الأظافر | منتجات اقل من 50 ريال | أرخص الأسعار | طلاء الاظافر | بولفير | إكسبرس - توصيل سريع | منتجات إكسبرس,مناكير |  بولفير | بلوفير,"https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/e1f7c1b5-a8d7-4726-b8c0-3dffda9bc7af.jpg
https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/63a5c9ab-2e01-41fe-96c5-bf77d07f4d95.jpg",https://makeupstationsa.com/products/بلوفير-طلاء-الأظافر-697,"e1f7c1b5-a8d7-4726-b8c0-3dffda9bc7af.jpg
63a5c9ab-2e01-41fe-96c5-bf77d07f4d95.jpg"
1d7fba10-fcc1-4412-b0a5-3fa99b017802,J2 8-6-8,روود - بخاخ مطهر ومعقم لليدين والاسطح بالليمون والنعناع 100 مل,روود-بخاخ-مطهر-ومعقم-لليدين-والاسطح-بالليمون-والنعناع-100-مل,روود - بخاخ مطهر ومعقم لليدين والاسطح بالليمون والنعناع 100 مل روود - بخاخ مطهر ومعقم لليدين والاسطح، من أفضل انواع المنتجات ا,روود - بخاخ مطهر ومعقم لليدين والاسطح بالليمون والنعناع 100 مل روود - بخاخ مطهر ومعقم لليدين والاسطح، من أفضل انواع المنتجات التى لا يمكن الاستغناء عنها فى حياتنا اليومية وذلك لانه يساعد فى التخلص من الأتربة والبكتيريا. العلامة التجارية: روود.,28.92,,مكياج | العناية | العناية باليدين | روود,معقم  | روود,https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/d105a0fc-13a0-44e4-963d-1f0d6eab900d.jpeg,https://makeupstationsa.com/products/روود-بخاخ-مطهر-ومعقم-لليدين-والاسطح-بالليمون-والنعناع-100-مل,d105a0fc-13a0-44e4-963d-1f0d6eab900d.jpeg
27124c5b-7cf3-41ea-91fa-0d5473fe22d4,J2 9-3-4,روود - براتز ماسك تهدئة البشرة | لاند هوو,روود-براتز-ماسك-تهدئة-البشرة-لاند-هوو,براتز ماسك ترطيب البشرة من روود .. تعزيز البشرة من الإشراق والثبات إلى التهدئة و اللمعان .. ماسك ترطيب البشرة غني بحمض الهايلرون,"براتز ماسك ترطيب البشرة من روود .

. تعزيز البشرة من الإشراق والثبات إلى التهدئة و اللمعان .

. ماسك ترطيب البشرة غني بحمض الهايلرونيك .

. يناسب جميع أنواع البشرة .",57.5,,مكياج | منتجات اقل من 100 ريال | أرخص الأسعار | العناية | العنايه بالوجة | روود | ماسك,روود | ماسك,https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/e6d923c5-f0d5-46a8-9624-fe9cf75b0d6a.jpeg,https://makeupstationsa.com/products/روود-براتز-ماسك-تهدئة-البشرة-لاند-هوو,e6d923c5-f0d5-46a8-9624-fe9cf75b0d6a.jpeg
b54db56c-7728-4ff8-9aab-5d96d7de8e7e,J2 9-4-6,روود - براتز ماسك ترطيب البشرة | بيليج فيلج,روود-براتز-ماسك-ترطيب-البشرة-بيليج-فيلج,براتز ماسك ترطيب البشرة من روود .. تعزيز البشرة من الإشراق والثبات إلى التهدئة و اللمعان .. ماسك ترطيب البشرة غني بحمض الهايلرون,"براتز ماسك ترطيب البشرة من روود .

. تعزيز البشرة من الإشراق والثبات إلى التهدئة و اللمعان .

. ماسك ترطيب البشرة غني بحمض الهايلرونيك .

. يناسب جميع أنواع البشرة .",57.5,,مكياج | منتجات اقل من 100 ريال | أرخص الأسعار | العناية | العنايه بالوجة | روود | ماسك,روود | ماسك,https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/da35e576-3db9-49bb-be85-284a12a2b942.jpeg,https://makeupstationsa.com/products/روود-براتز-ماسك-ترطيب-البشرة-بيليج-فيلج,da35e576-3db9-49bb-be85-284a12a2b942.jpeg
967f298c-d82f-44ee-a8c9-0bd8940a99b1,J2 8-6-1,روود - بايت مي ايشادو باليت | فايبر,روود-بايت-مي-ايشادو-باليت-فايبر,ابتكري مجموعة ساحرة من الإطلالات المتطورة والجذابه مع 25 لونًا لامعًا وغير لامعيمكن ابتكار اللوك الذي ترغبين به باستخدام كل لو,"ابتكري مجموعة ساحرة من الإطلالات المتطورة والجذابه مع 25 لونًا لامعًا وغير لامع
يمكن ابتكار اللوك الذي ترغبين به باستخدام كل لون بمفرده أو عن طري دمج عدة الوان دون عناء لإضفاء مظهر جريء لا يعرف الخوف او الخجل.",100.1,,مكياج | العيون | ظلال العيون | باليت ظلال العيون | روود,باليت | ظلال العيون | روود,https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/7ddd837e-ef77-414b-8e72-f52b90ce8c5c.jpeg,https://makeupstationsa.com/products/روود-بايت-مي-ايشادو-باليت-فايبر,7ddd837e-ef77-414b-8e72-f52b90ce8c5c.jpeg
03533ca6-c3f4-4694-9388-4a86a147c39e,i2 9-3-2,روود - اي برو جل ماسكرا الحواجب تشوكو براون,روود-اي-برو-جل-ماسكرا-الحواجب-تشوكو-براون,ماسكرا بقوام جل تعمل على ترتيب الرموش وتكثيفها بفضل وجود ألياف التكثيف.بالإضافة إلى انه يمكنك استعمالها لترتيب الحواجب بدون أ,"ماسكرا بقوام جل شفاف تعمل على ترتيب الرموش وتكثيفها بفضل وجود ألياف التكثيف.

بالإضافة إلى انه يمكنك استعمالها لترتيب الحواجب بدون أي تكتل.

اختيار مثالي لمظهر مرتب وجذاب",33.36,,مكياج | الحواجب | منتجات اقل من 50 ريال | مسكرة الحواجب | أرخص الأسعار | روود,مسكارا | بني | روود,https://media.zid.store/d73601a1-4937-47cb-bd73-7bcdb20c83d1/18c9f76c-c3b1-4bb5-a70c-78fe9343ff73.jpeg,https://makeupstationsa.com/products/روود-اي-برو-جل-ماسكرا-الحواجب-تشوكو-براون,18c9f76c-c3b1-4bb5-a70c-78fe9343ff73.jpeg
